name,market,lat,lon,status,mw,operator,developer,funding_type,funding_detail,tenant,announced_year,target_online,notes,source_url,confidence
"Microsoft Mt. Pleasant (Fairwater) AI campus",Chicago,42.7261,-87.9023,under_construction,1000,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($3.3B + $4B + ~$13.3B proposed expansion)",Microsoft,2023,2026,"~555 MW operational + 337.6 MW UC; campus could grow to 2-3 GW with proposed 15 new buildings",https://www.datacenterdynamics.com/en/news/microsoft-given-greenlight-for-15-more-data-center-buildings-in-mount-pleasant-wisconsin/,high
"Microsoft Boydton VA campus",Northern Virginia,36.6648,-78.3892,built,640,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($2B+ invested)",Microsoft,2010,2014,"Multi-phase 1.1M sqft cluster; ~250 MW per individual building x multiple phases",https://interconnection.fyi/,medium
"Microsoft West Des Moines",Des Moines,41.5868,-93.6250,built,300,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet ($3-5B Iowa cluster)",Microsoft,2008,2011,"Three operational campuses; Project Ginger E/W each ~1.8M sqft; total cluster MW not officially disclosed",https://news.microsoft.com/source/,medium
"Microsoft Cheyenne",Cheyenne,41.1400,-104.8202,under_construction,250,Microsoft,Microsoft,hyperscaler,"Microsoft balance sheet",Microsoft,2022,2026,"~106 MW interconnection record; new 3,200-acre site announced April 2026 will materially expand",https://news.microsoft.com/source/features/sustainability/microsoft-announces-new-data-center-region-in-cheyenne-wyoming/,medium
"Meta Richland Parish (Hyperion) Louisiana AI campus",Memphis,32.4068,-91.7920,under_construction,2000,Meta,Meta,hyperscaler,"Meta balance sheet ($10B+ committed)",Meta,2024,2028,"Phase 1 online 2028; >2 GW by 2030; up to 5 GW long-term ceiling on 2,250 acres / 4M sqft",https://datacenters.atmeta.com/richland-parish-data-center/,high
"Meta Temple Texas",Dallas-Fort Worth,31.0982,-97.3428,built,152,Meta,Meta,hyperscaler,"Meta balance sheet ($800M)",Meta,2021,2024,"3-building campus / 750k sqft",https://www.prnewswire.com/news-releases/meta-celebrates-temple-data-center-opening-302009345.html,high
"Meta Eagle Mountain Utah",Salt Lake City,40.3158,-112.0114,built,300,Meta,Meta,hyperscaler,"Meta balance sheet",Meta,2018,2022,"7 buildings / 4.5M sqft; current expansion phase ~300 MW; total campus MW not publicly disclosed",https://datacenters.atmeta.com/eagle-mountain-data-center/,low
"Meta Kuna Idaho",Boise,43.4915,-116.4202,under_construction,300,Meta,Meta,hyperscaler,"Meta balance sheet ($800M)",Meta,2023,2026,"960k sqft; Meta minimum power filing 20 MW (likely understated); typical Meta hall 75-150 MW x multiple",https://commerce.idaho.gov/press-releases/meta-announces-kuna-as-location-of-new-data-center/,low
"AWS Loudoun cluster (US-East-1)",Northern Virginia,39.0438,-77.4874,built,1500,Amazon,Amazon,hyperscaler,"Amazon balance sheet ($35B+ invested)",Amazon,2006,2024,"~1.5 GW IT load operational across 50+ facilities at 14 sites; largest US-East-1 region",https://www.datacenterfrontier.com/cloud/article/11430945/amazon-approaches-1-gigawatt-of-cloud-capacity-in-virginia,high
"AWS New Albany Ohio",Columbus,40.0807,-82.7993,built,500,Amazon,Amazon,hyperscaler,"Amazon balance sheet ($23.8B Ohio commitment)",Amazon,2020,2026,"500 MW IT capacity (us-east-2 AI campus); 5 buildings / 1.25M sqft",https://www.datacenterfrontier.com/site-selection/article/33011941/aws-readies-35b-for-5-more-ohio-data-centers-in-booming-columbus-suburb-new-albany,high
"Google Council Bluffs Iowa",Omaha-Council Bluffs,41.2598,-95.8517,built,407,Google,Google,hyperscaler,"Alphabet balance sheet ($7B+ Iowa)",Google,2007,2024,"~407 MW power consumption per Google disclosures; one of Google's largest US sites",https://datacenters.google/council-bluffs/,high
"Google New Albany Ohio",Columbus,40.0892,-82.8081,under_construction,500,Google,Google,hyperscaler,"Alphabet balance sheet ($7.2B Ohio)",Google,2019,2026,"$600M initial + $1B + $2.3B subsequent expansions; specific MW not officially disclosed",https://datacenters.google/,low
"Apple Reno Nevada",Reno-Las Vegas,39.5800,-119.4400,built,49,Apple,Apple,hyperscaler,"Apple balance sheet",Apple,2012,2024,"~49 MW operational at Sparks campus; new 50 MW substation permit pending",https://baxtel.com/data-center/apple-reno,high
"Stargate Abilene (Crusoe-built / Oracle-leased)",Dallas-Fort Worth,32.4487,-99.7331,under_construction,1200,Oracle,Crusoe,sovereign_jv,"Stargate JV: MGX / SoftBank / OpenAI / Oracle. Crusoe debt: $15B Blue Owl / Primary Digital",OpenAI,2024,2026,"~200 MW operational since Sept 2025; full Phase-2 buildout 1.2 GW (8 buildings / 4M sqft); planned 600 MW further expansion was scrapped March 2026",https://www.crusoe.ai/resources/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts,high
"Microsoft-leased Crusoe Abilene campus",Dallas-Fort Worth,32.4500,-99.7400,planned,900,Microsoft,Crusoe,specialty_pe,"Crusoe debt-funded; Microsoft 15-year lease",Microsoft,2026,2027,"Separate from Stargate Abilene; announced March 2026; mid-2027 commissioning target",https://www.tomshardware.com/tech-industry/oracle-and-openai-scrap-planned-600mw-abilene-expansion,high
"xAI Colossus Memphis",Memphis,35.0458,-90.0289,under_construction,2000,xAI,xAI,specialty_pe,"Valor Equity Partners; xAI Series C/F; Musk; ~$18B GPU spend",xAI,2024,2026,"Colossus 1 ~300 MW operational; Jan 2026 expansion to ~2 GW with third building / 555k GPUs; gas turbines + Solaris/Southaven hub",https://www.tomshardware.com/tech-industry/artificial-intelligence/musk-purchases-third-building-at-memphis-site-to-expand-xais-training-capacity-to-a-monstrous-2-gigawatts,high
"QTS Manassas + PW Digital Gateway",Northern Virginia,38.7509,-77.6128,planned,750,QTS,QTS,infra_fund,"Blackstone Infrastructure (acquired 2021 for $10B)",Multiple hyperscalers,2022,2027,"Current Manassas (Godwin) ~85 MW; PW Digital Gateway 800-2,100 acre rezoning would add ~750 MW long-term — still in approval",https://www.qtsdatacenters.com/,medium
"AirTrunk North America (Phoenix)",Phoenix,33.4420,-112.5850,planned,80,AirTrunk,AirTrunk,infra_fund,"Blackstone (acquired AirTrunk Sept 2024 for ~$24B)",TBD,2025,2027,"Initial phase ~36 MW BREEAM-certified; AirTrunk's typical campus model is hyperscale 80+ MW; first US AirTrunk site",https://www.airtrunk.com/,low
"Vantage VA12/14 Ashburn campus",Northern Virginia,39.0166,-77.4750,built,146,Vantage,Vantage,infra_fund,"DigitalBridge / Silver Lake",Multiple,2020,2024,"Full Ashburn III campus 146 MW across 5 buildings (~1M sqft); VA12 ~32-36 MW alone",https://vantage-dc.com/data-center-locations/north-america/ashburn-iii/,high
"CyrusOne Sterling NoVA cluster",Northern Virginia,39.0138,-77.4070,built,256,CyrusOne,CyrusOne,infra_fund,"KKR / GIP (acquired 2022 for $15B)",Multiple,2018,2024,"NVA1-3 84 MW + NVA4 12.6 MW + NVA8 24 MW + NVA9 135 MW = ~256 MW Sterling cluster",https://www.cyrusone.com/data-centers/north-america/sterling-virginia-nva9,high
"Aligned Phoenix",Phoenix,33.4350,-111.9650,built,180,Aligned,Aligned,infra_fund,"Macquarie Asset Management (pending sale to MGX/BlackRock GIP/AIP at $40B EV, closing H1 2026)",Multiple,2020,2023,"180 MW capacity / 550k sqft / 55 acres",https://aligneddc.com/phoenix/,high
"Compass Red Oak Texas",Dallas-Fort Worth,32.4990,-96.7960,built,180,Compass,Compass,infra_fund,"Brookfield / Ontario Teachers ($326M+ refis)",Microsoft,2017,2025,"180 MW operational across 5 buildings (single-tenant fully leased, likely Microsoft per industry reporting); full buildout target 350-360 MW across 10 buildings",https://www.compassdatacenters.com/news/compass-datacenters-adds-second-dallas-area-campus/,high
"Stack NoVA01 / Ashburn campus",Northern Virginia,39.0240,-77.4700,built,216,Stack,Stack,infra_fund,"IPI Partners",Multiple,2020,2026,"NVA01 single building 18 MW; broader Ashburn campus expanding to 216 MW by 2026",https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-accelerates-northern-virginia-growth-with-216mw-flagship-ashburn-campus/,high
"EdgeConneX Phoenix PHX01",Phoenix,33.4670,-112.0500,built,7,EdgeConneX,EdgeConneX,infra_fund,"EQT / GIC",Multiple,2019,2022,"6.5-7 MW edge facility in Tempe; separate Mesa expansion announced",https://www.edgeconnex.com/locations/north-america/phoenix/,high
"Equinix DC15 Ashburn",Northern Virginia,39.0151,-77.4658,built,80,Equinix,Equinix,reit,"Equinix Inc. (NASDAQ: EQIX)",Multiple enterprise,2018,2020,"202,666 sqft; specific MW not publicly disclosed (Equinix reports cabinets)",https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-dc-data-centers/dc15,low
"Equinix LA4 El Segundo",Silicon Valley,33.9170,-118.4019,built,9,Equinix,Equinix,reit,"Equinix Inc. (NASDAQ: EQIX)",Multiple,2017,2019,"9 MW UPS / ~7.5 MW IT load (177k sqft connectivity hub)",https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/los-angeles-data-centers/la4,high
"Digital Realty 56 Marietta Atlanta",Atlanta,33.7700,-84.3700,built,32,Digital Realty,Digital Realty,reit,"Digital Realty Trust (NYSE: DLR)",Multiple,2010,2015,"56 Marietta carrier hotel (~32 MW); primary DLR Atlanta asset",https://www.digitalrealty.com/data-centers/americas/atlanta,high
"Digital Realty CH1 Chicago (350 E Cermak)",Chicago,41.8533,-87.6406,built,100,Digital Realty,Digital Realty,reit,"Digital Realty Trust (NYSE: DLR)",Multiple,2012,2017,">100 MW utility power; 1.13M sqft / 535k sqft raised floor",https://www.digitalrealty.com/data-centers/americas/chicago,high
"Iron Mountain Manassas campus",Northern Virginia,38.7510,-77.4750,built,280,Iron Mountain,Iron Mountain,reit,"Iron Mountain (NYSE: IRM)",Multiple,2017,2026,"VA-1 single building 12.4 MW; broader 142-acre campus targets 280 MW",https://www.ironmountain.com/data-centers/manassas-data-center,high
"Switch Citadel Tahoe-Reno",Reno-Las Vegas,39.5418,-119.4630,built,650,Switch,Switch,public_specialty,"DigitalBridge / IFM (took private 2022 for $11B)",Multiple,2016,2024,"Up to 650 MW campus capacity at full build; Tahoe Reno 1 single building 130 MW",https://www.switch.com/switch-tahoe-reno-data-center-now-open/,high
"Sabey Quincy WA",Seattle,47.2350,-119.8525,built,105,Sabey,Sabey,public_specialty,"Sabey Corporation (private)",Multiple,2008,2023,"~105 MW after 85 MW expansion completed 2023; 530k sqft / 5 buildings",https://www.datacenterdynamics.com/en/news/sabey-completes-85mw-expansion-in-quincy-washington/,high
"T5 Atlanta GA",Atlanta,33.7180,-84.4150,built,48,T5,T5,infra_fund,"QuadReal / IPI",Multiple,2014,2020,"T5@Atlanta I/II ~48 MW (20+28); newly announced 200-300 MW South Fulton campus delivers 2027",https://www.t5datacenters.com/atlanta/,high
"Prime Data Centers Reno",Reno-Las Vegas,39.5300,-119.7900,under_construction,40,Prime Data Centers,Prime,infra_fund,"Schroders Greencoat / private",TBD,2023,2025,"Prime markets 20+ MW hyperscale wholesale; specific Reno MW not authoritatively disclosed",https://primedatacenters.com/,low
